t,u1,u2,u3,y,ysp
10,12.887,0.55,16.6,7,4
20,10.86,0.55,16.6,7.0015,4
30,9.2087,0.55,16.6,6.8648,4
40,7.8908,0.55,16.6,6.6808,4
50,6.8723,0.55,16.6,6.4844,4
60,6.1394,0.55,16.6,6.281,4
70,6.048,0.55,16.6,6.0617,4
80,7.266,0.55,16.6,5.8039,4
90,8.1043,0.55,16.6,5.4723,4
100,8.688,0.55,16.6,5.0783,4
110,9.1994,0.55,16.6,4.6656,4
120,9.584,0.55,16.6,4.4106,4
130,9.83,0.55,16.6,4.2817,4
140,9.9747,0.55,16.6,4.213,4
150,10.055,0.55,16.6,4.1738,4
160,10.097,0.55,16.6,4.1497,4
170,10.117,0.55,16.6,4.1337,4
180,10.125,0.55,16.6,4.1222,4
190,10.126,0.55,16.6,4.1131,4
200,10.124,0.55,16.6,4.1054,4
210,10.12,0.55,16.6,4.0987,4
220,10.115,0.55,16.6,4.0925,4
230,10.111,0.55,16.6,4.0868,4
240,10.106,0.55,16.6,4.0814,4
250,10.102,0.55,16.6,4.0764,4
260,10.098,0.55,16.6,4.0716,4
270,10.094,0.55,16.6,4.067,4
280,10.09,0.55,16.6,4.0628,4
290,10.087,0.55,16.6,4.0587,4
300,10.084,0.55,16.6,4.0549,4
310,10.082,0.55,16.6,4.0513,4
320,10.079,0.55,16.6,4.0479,4
330,10.077,0.55,16.6,4.0448,4
340,10.075,0.55,16.6,4.0418,4
350,10.073,0.55,16.6,4.039,4
360,10.071,0.55,16.6,4.0363,4
370,10.069,0.55,16.6,4.0339,4
380,10.068,0.55,16.6,4.0316,4
390,10.066,0.55,16.6,4.0294,4
400,10.065,0.55,16.6,4.0274,4
410,10.859,0.55,16.6,4.0255,5
420,11.301,0.55,16.6,4.0237,5
430,11.546,0.55,16.6,4.0619,5
440,11.679,0.55,16.6,4.1251,5
450,11.741,0.55,16.6,4.2073,5
460,11.751,0.55,16.6,4.3062,5
470,11.719,0.55,16.6,4.4203,5
480,11.648,0.55,16.6,4.5457,5
490,11.55,0.55,16.6,4.6727,5
500,11.44,0.55,16.6,4.7869,5
510,11.334,0.55,16.6,4.8776,5
520,11.243,0.55,16.6,4.9421,5
530,11.173,0.55,16.6,4.9843,5
540,11.122,0.55,16.6,5.0095,5
550,11.088,0.55,16.6,5.0227,5
560,11.067,0.55,16.6,5.028,5
570,11.054,0.55,16.6,5.0283,5
580,11.049,0.55,16.6,5.0258,5
590,11.047,0.55,16.6,5.022,5
600,11.048,0.55,16.6,5.0179,5
610,11.05,0.55,16.6,5.0139,5
620,11.053,0.55,16.6,5.0104,5
630,11.056,0.55,16.6,5.0075,5
640,11.058,0.55,16.6,5.0053,5
650,11.06,0.55,16.6,5.0036,5
