t,u1,y,ysp
2.5,20.149,1.12,0.8
5,6.7347,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1298,0.8
17.5,0,1.1479,0.8
20,0,1.1655,0.8
22.5,0,1.1766,0.8
25,0,1.1821,0.8
27.5,0,1.1826,0.8
30,0.82982,1.1788,0.8
32.5,2.2562,1.1714,0.8
35,4.0535,1.1608,0.8
37.5,6.0388,1.1475,0.8
40,8.0682,1.1318,0.8
42.5,10.034,1.1136,0.8
45,11.857,1.0928,0.8
47.5,13.488,1.0699,0.8
50,14.894,1.0454,0.8
52.5,16.063,1.02,0.8
55,16.995,0.99435,0.8
57.5,17.7,0.96909,0.8
60,18.194,0.94479,0.8
62.5,18.5,0.92189,0.8
65,18.643,0.90074,0.8
67.5,18.649,0.88159,0.8
70,18.546,0.86456,0.8
72.5,18.357,0.8497,0.8
75,18.109,0.83699,0.8
77.5,17.82,0.82632,0.8
80,17.511,0.81756,0.8
82.5,17.197,0.81055,0.8
85,16.891,0.80509,0.8
87.5,16.602,0.801,0.8
90,16.338,0.79807,0.8
92.5,16.103,0.79612,0.8
95,15.9,0.79496,0.8
97.5,15.73,0.79444,0.8
100,15.592,0.79439,0.8
102.5,15.485,0.7947,0.8
105,15.405,0.79525,0.8
107.5,15.349,0.79595,0.8
110,15.315,0.79672,0.8
112.5,15.298,0.79751,0.8
115,15.296,0.79827,0.8
117.5,15.304,0.79896,0.8
120,15.321,0.79957,0.8
122.5,15.343,0.80008,0.8
125,15.369,0.80049,0.8
127.5,15.396,0.80081,0.8
130,15.422,0.80103,0.8
132.5,15.448,0.80117,0.8
135,15.471,0.80124,0.8
137.5,15.492,0.80125,0.8
140,15.509,0.80121,0.8
142.5,15.524,0.80113,0.8
145,15.536,0.80103,0.8
147.5,15.545,0.8009,0.8
150,15.551,0.80078,0.8
152.5,15.555,0.80065,0.8
155,15.557,0.80052,0.8
157.5,15.558,0.8004,0.8
160,15.557,0.80029,0.8
162.5,15.555,0.8002,0.8
165,15.553,0.80012,0.8
167.5,15.55,0.80005,0.8
170,15.547,0.8,0.8
172.5,15.544,0.79996,0.8
175,15.541,0.79993,0.8
177.5,15.538,0.79991,0.8
180,15.536,0.7999,0.8
182.5,15.534,0.79989,0.8
185,15.532,0.79989,0.8
187.5,15.53,0.7999,0.8
190,15.529,0.79991,0.8
192.5,15.528,0.79992,0.8
195,15.528,0.79993,0.8
197.5,15.527,0.79994,0.8
