t,u1,y,ysp
2.5,20.157,1.12,0.8
5,8.2072,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1298,0.8
17.5,0,1.1467,0.8
20,0,1.1647,0.8
22.5,0.54718,1.1761,0.8
25,2.1361,1.1818,0.8
27.5,3.9362,1.1825,0.8
30,6.3078,1.179,0.8
32.5,8.3269,1.1717,0.8
35,10.657,1.1608,0.8
37.5,12.291,1.146,0.8
40,14.144,1.128,0.8
42.5,15.16,1.1071,0.8
45,16.395,1.0845,0.8
47.5,16.829,1.0607,0.8
50,17.488,1.0368,0.8
52.5,17.515,1.0132,0.8
55,17.722,0.9909,0.8
57.5,17.547,0.96981,0.8
60,17.449,0.95068,0.8
62.5,17.228,0.93324,0.8
65,16.963,0.91789,0.8
67.5,16.785,0.90429,0.8
70,16.462,0.89254,0.8
72.5,16.36,0.88236,0.8
75,16.052,0.87363,0.8
77.5,16.023,0.86619,0.8
80,15.769,0.85979,0.8
82.5,15.795,0.85437,0.8
85,15.604,0.84964,0.8
87.5,15.663,0.84563,0.8
90,15.531,0.84204,0.8
92.5,15.603,0.83896,0.8
95,15.517,0.83613,0.8
97.5,15.589,0.83365,0.8
100,15.535,0.83132,0.8
102.5,15.598,0.82925,0.8
105,15.564,0.82728,0.8
107.5,15.614,0.82549,0.8
110,15.593,0.82378,0.8
112.5,15.629,0.82222,0.8
115,15.614,0.82073,0.8
117.5,15.638,0.81936,0.8
120,15.627,0.81806,0.8
122.5,15.641,0.81687,0.8
125,15.631,0.81575,0.8
127.5,15.638,0.81473,0.8
130,15.629,0.81377,0.8
132.5,15.631,0.81289,0.8
135,15.623,0.81208,0.8
137.5,15.621,0.81134,0.8
140,15.613,0.81065,0.8
142.5,15.608,0.81002,0.8
145,15.6,0.80945,0.8
147.5,15.593,0.80892,0.8
150,15.584,0.80844,0.8
152.5,15.575,0.80799,0.8
155,15.564,0.80758,0.8
157.5,15.554,0.80721,0.8
160,15.542,0.80686,0.8
162.5,15.53,0.80654,0.8
165,15.517,0.80624,0.8
167.5,15.504,0.80596,0.8
170,15.491,0.8057,0.8
172.5,15.478,0.80546,0.8
175,15.466,0.80523,0.8
177.5,15.456,0.80501,0.8
180,15.448,0.8048,0.8
182.5,15.443,0.80459,0.8
185,15.441,0.80439,0.8
187.5,15.443,0.8042,0.8
190,15.448,0.804,0.8
192.5,15.457,0.8038,0.8
195,15.468,0.8036,0.8
197.5,15.481,0.80339,0.8
200,15.494,0.80318,0.8
202.5,15.506,0.80297,0.8
205,15.518,0.80275,0.8
207.5,15.529,0.80253,0.8
210,15.539,0.80232,0.8
212.5,15.546,0.8021,0.8
215,15.552,0.80189,0.8
217.5,15.556,0.80169,0.8
220,15.557,0.80151,0.8
222.5,15.558,0.80133,0.8
225,15.557,0.80117,0.8
227.5,15.555,0.80103,0.8
230,15.552,0.8009,0.8
232.5,15.549,0.80079,0.8
235,15.545,0.8007,0.8
237.5,15.542,0.80062,0.8
240,15.539,0.80055,0.8
242.5,15.536,0.8005,0.8
245,15.533,0.80045,0.8
247.5,15.531,0.80042,0.8
250,15.529,0.80039,0.8
252.5,15.528,0.80037,0.8
255,15.527,0.80035,0.8
257.5,15.527,0.80033,0.8
260,15.527,0.80032,0.8
262.5,15.527,0.80031,0.8
265,15.527,0.80029,0.8
267.5,15.528,0.80028,0.8
270,15.528,0.80027,0.8
272.5,15.528,0.80026,0.8
275,15.529,0.80025,0.8
277.5,15.529,0.80023,0.8
280,15.53,0.80022,0.8
282.5,15.53,0.80021,0.8
285,15.53,0.8002,0.8
287.5,15.53,0.80018,0.8
290,15.531,0.80017,0.8
292.5,15.531,0.80016,0.8
295,15.531,0.80015,0.8
297.5,15.531,0.80014,0.8
300,15.531,0.80013,0.8
302.5,15.531,0.80012,0.8
305,15.53,0.80011,0.8
307.5,15.53,0.80011,0.8
310,15.53,0.8001,0.8
312.5,15.53,0.80009,0.8
315,15.53,0.80009,0.8
317.5,15.53,0.80008,0.8
320,15.53,0.80008,0.8
322.5,15.53,0.80007,0.8
325,15.53,0.80007,0.8
327.5,15.53,0.80006,0.8
330,15.53,0.80006,0.8
332.5,15.53,0.80006,0.8
335,15.53,0.80005,0.8
337.5,15.53,0.80005,0.8
340,15.53,0.80005,0.8
342.5,15.529,0.80004,0.8
345,15.529,0.80004,0.8
347.5,15.53,0.80004,0.8
350,15.53,0.80004,0.8
352.5,15.53,0.80003,0.8
355,15.53,0.80003,0.8
357.5,15.53,0.80003,0.8
360,15.53,0.80003,0.8
362.5,15.53,0.80003,0.8
365,15.53,0.80002,0.8
367.5,15.53,0.80002,0.8
370,15.53,0.80002,0.8
372.5,15.53,0.80002,0.8
375,15.53,0.80002,0.8
377.5,15.53,0.80002,0.8
380,15.53,0.80001,0.8
382.5,15.53,0.80001,0.8
385,15.53,0.80001,0.8
387.5,15.53,0.80001,0.8
390,15.53,0.80001,0.8
392.5,15.53,0.80001,0.8
395,15.53,0.80001,0.8
397.5,15.53,0.80001,0.8
400,15.53,0.80001,0.8
402.5,15.53,0.8,0.8
405,15.53,0.8,0.8
407.5,15.53,0.8,0.8
410,15.53,0.8,0.8
412.5,15.53,0.8,0.8
415,15.53,0.8,0.8
417.5,15.53,0.8,0.8
420,15.53,0.8,0.8
422.5,15.53,0.8,0.8
425,15.53,0.8,0.8
427.5,15.53,0.8,0.8
430,15.53,0.8,0.8
432.5,15.53,0.8,0.8
435,15.53,0.8,0.8
