t,u1,y,ysp
2.5,23.368,1.12,0.8
5,6.4428,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1273,0.8
17.5,0,1.1463,0.8
20,0,1.1645,0.8
22.5,0,1.1761,0.8
25,0.73469,1.182,0.8
27.5,0,1.1829,0.8
30,2.5141,1.1794,0.8
32.5,0,1.1723,0.8
35,4.1922,1.1619,0.8
37.5,0.048089,1.1482,0.8
40,4.8011,1.1329,0.8
42.5,2.4402,1.1136,0.8
45,6.2788,1.0953,0.8
47.5,5.1826,1.0723,0.8
50,8.6719,1.0523,0.8
52.5,9.9154,1.0277,0.8
55,13.746,1.0053,0.8
57.5,17.863,0.97998,0.8
60,23.9,0.95642,0.8
62.5,25.465,0.93121,0.8
65,26.012,0.90684,0.8
67.5,25.191,0.88192,0.8
70,23.983,0.85726,0.8
72.5,21.813,0.83264,0.8
75,20.353,0.812,0.8
77.5,18.37,0.79572,0.8
80,16.686,0.78411,0.8
82.5,16.754,0.77656,0.8
85,14.676,0.77282,0.8
87.5,15.354,0.77158,0.8
90,15.078,0.77252,0.8
92.5,15.205,0.77483,0.8
95,16.773,0.77709,0.8
97.5,15.679,0.78046,0.8
100,15.547,0.78296,0.8
102.5,15.373,0.78531,0.8
105,15.238,0.78726,0.8
107.5,15.145,0.78809,0.8
110,15.085,0.78967,0.8
112.5,15.055,0.79117,0.8
115,15.275,0.79259,0.8
117.5,16.73,0.79391,0.8
120,15.848,0.79507,0.8
122.5,15.794,0.79606,0.8
125,15.659,0.79688,0.8
127.5,15.547,0.7974,0.8
130,15.464,0.79701,0.8
132.5,15.402,0.79738,0.8
135,15.362,0.79779,0.8
137.5,15.339,0.79826,0.8
140,15.331,0.79876,0.8
142.5,15.334,0.79924,0.8
145,15.345,0.79968,0.8
147.5,15.362,0.80006,0.8
150,15.383,0.80037,0.8
152.5,15.405,0.80061,0.8
155,15.427,0.80078,0.8
157.5,15.449,0.80088,0.8
160,15.469,0.80092,0.8
162.5,15.486,0.80091,0.8
165,15.501,0.80087,0.8
167.5,15.514,0.80079,0.8
170,15.524,0.80069,0.8
172.5,15.531,0.80058,0.8
175,15.536,0.80046,0.8
177.5,15.54,0.80034,0.8
180,15.541,0.80023,0.8
182.5,15.542,0.80012,0.8
185,15.541,0.80002,0.8
187.5,15.539,0.79994,0.8
190,15.537,0.79986,0.8
192.5,15.535,0.7998,0.8
195,15.532,0.79975,0.8
197.5,15.53,0.79971,0.8
200,15.528,0.79968,0.8
202.5,15.525,0.79966,0.8
205,15.523,0.79965,0.8
207.5,15.522,0.79964,0.8
210,15.52,0.79964,0.8
212.5,15.519,0.79964,0.8
215,15.518,0.79965,0.8
217.5,15.518,0.79965,0.8
220,15.517,0.79966,0.8
222.5,15.517,0.79967,0.8
225,15.517,0.79967,0.8
227.5,15.517,0.79968,0.8
230,15.517,0.79969,0.8
232.5,15.517,0.79969,0.8
235,15.517,0.7997,0.8
237.5,15.518,0.7997,0.8
240,15.518,0.7997,0.8
242.5,15.518,0.79971,0.8
245,15.518,0.79971,0.8
247.5,15.519,0.79971,0.8
250,15.519,0.79971,0.8
252.5,0,0.79971,0.2
255,0,0.79971,0.2
257.5,0,0.79971,0.2
260,0,0.7997,0.2
262.5,0,0.7997,0.2
265,0,0.80832,0.2
267.5,0,0.81329,0.2
270,0,0.81504,0.2
272.5,0,0.81398,0.2
275,0,0.81044,0.2
277.5,0,0.80475,0.2
280,0,0.79718,0.2
282.5,0,0.78799,0.2
285,0,0.77742,0.2
287.5,0,0.76565,0.2
290,0,0.75288,0.2
292.5,0,0.73927,0.2
295,0,0.72496,0.2
297.5,0,0.71008,0.2
300,0,0.69475,0.2
302.5,0,0.67908,0.2
305,0,0.66315,0.2
307.5,0,0.64705,0.2
310,0,0.63085,0.2
312.5,0,0.61461,0.2
315,0,0.59839,0.2
317.5,0,0.58224,0.2
320,0,0.56619,0.2
322.5,0,0.5503,0.2
325,0,0.53458,0.2
327.5,0,0.51908,0.2
330,0,0.50381,0.2
332.5,0,0.48879,0.2
335,0,0.47404,0.2
337.5,0,0.45957,0.2
340,0,0.4454,0.2
342.5,0,0.43154,0.2
345,0,0.41798,0.2
347.5,0,0.40475,0.2
350,0,0.39183,0.2
352.5,2.1001,0.37924,0.2
355,0,0.36697,0.2
357.5,0,0.35503,0.2
360,3.2321,0.34341,0.2
362.5,0.48924,0.33211,0.2
365,0,0.32064,0.2
367.5,3.0202,0.3105,0.2
370,1.4204,0.3006,0.2
372.5,0.92393,0.29029,0.2
375,0.72024,0.28161,0.2
377.5,0.81391,0.27332,0.2
380,3.7143,0.26461,0.2
382.5,3.1665,0.25712,0.2
385,3.0297,0.25017,0.2
387.5,2.9804,0.24355,0.2
390,2.9847,0.23714,0.2
392.5,3.0391,0.2305,0.2
395,4.2158,0.22492,0.2
397.5,3.7786,0.22009,0.2
400,3.5319,0.2159,0.2
402.5,3.3077,0.21228,0.2
405,3.1043,0.20917,0.2
407.5,2.9239,0.20636,0.2
410,2.7599,0.20435,0.2
412.5,2.6177,0.20291,0.2
415,2.4982,0.20193,0.2
417.5,2.4014,0.20131,0.2
420,2.3264,0.20096,0.2
422.5,2.2715,0.2008,0.2
425,2.2343,0.20079,0.2
427.5,2.2123,0.20085,0.2
430,2.2029,0.20097,0.2
432.5,2.2034,0.2011,0.2
435,2.2112,0.20122,0.2
437.5,2.2242,0.20133,0.2
440,2.2402,0.2014,0.2
442.5,2.2577,0.20145,0.2
445,2.2751,0.20146,0.2
447.5,2.2916,0.20144,0.2
450,2.3062,0.20139,0.2
452.5,2.3186,0.20132,0.2
455,2.3286,0.20124,0.2
457.5,2.3359,0.20115,0.2
460,2.3409,0.20106,0.2
462.5,2.3437,0.20097,0.2
465,2.3445,0.20088,0.2
467.5,2.3438,0.2008,0.2
470,2.3418,0.20073,0.2
472.5,2.339,0.20068,0.2
475,2.3357,0.20063,0.2
477.5,2.332,0.2006,0.2
480,2.3284,0.20057,0.2
482.5,2.3249,0.20056,0.2
485,2.3218,0.20055,0.2
487.5,2.319,0.20055,0.2
490,2.3167,0.20055,0.2
492.5,2.3149,0.20056,0.2
495,2.3136,0.20057,0.2
497.5,2.3127,0.20058,0.2
500,2.3122,0.20059,0.2
502.5,21.477,0.20061,0.6
505,36.573,0.20062,0.6
507.5,45.304,0.20063,0.6
510,48.882,0.20064,0.6
512.5,48.446,0.20064,0.6
515,45.129,0.19798,0.6
517.5,39.825,0.19789,0.6
520,33.363,0.20424,0.6
522.5,26.631,0.21848,0.6
525,18.888,0.24043,0.6
527.5,14.137,0.26891,0.6
530,6.3834,0.30236,0.6
532.5,0,0.33909,0.6
535,0,0.37747,0.6
537.5,0,0.41636,0.6
540,0,0.45364,0.6
542.5,0,0.48969,0.6
545,0.29715,0.5231,0.6
547.5,2.3533,0.55094,0.6
550,5.1757,0.5738,0.6
552.5,7.4356,0.5922,0.6
555,5.8006,0.60662,0.6
557.5,9.7467,0.61737,0.6
560,7.8562,0.62414,0.6
562.5,7.8887,0.62743,0.6
565,8.1205,0.62838,0.6
567.5,8.4084,0.62942,0.6
570,8.7279,0.62777,0.6
572.5,9.0166,0.62707,0.6
575,9.2878,0.62602,0.6
577.5,9.5414,0.62457,0.6
580,9.767,0.62282,0.6
582.5,9.9574,0.62084,0.6
585,10.108,0.61875,0.6
587.5,9.7454,0.61663,0.6
590,9.6669,0.61455,0.6
592.5,5.7777,0.61258,0.6
595,8.0379,0.61077,0.6
597.5,9.1863,0.60915,0.6
600,9.5751,0.60797,0.6
602.5,9.8181,0.60697,0.6
605,9.9728,0.60773,0.6
607.5,10.107,0.6067,0.6
610,10.199,0.60501,0.6
612.5,10.244,0.60329,0.6
615,10.248,0.60168,0.6
617.5,10.216,0.60026,0.6
620,10.156,0.59904,0.6
622.5,10.077,0.59805,0.6
625,9.9851,0.5973,0.6
627.5,9.8872,0.59679,0.6
630,9.7891,0.5965,0.6
632.5,9.6958,0.59641,0.6
635,9.611,0.59649,0.6
637.5,9.5375,0.59671,0.6
640,9.4771,0.59703,0.6
642.5,9.4305,0.59743,0.6
645,9.3977,0.59787,0.6
647.5,9.378,0.59832,0.6
650,9.37,0.59876,0.6
652.5,9.3722,0.59916,0.6
655,9.3828,0.59953,0.6
657.5,9.3997,0.59983,0.6
660,9.4212,0.60008,0.6
662.5,9.4453,0.60027,0.6
665,9.4704,0.60039,0.6
667.5,9.4952,0.60045,0.6
670,9.5185,0.60047,0.6
672.5,9.5394,0.60044,0.6
675,9.5573,0.60038,0.6
677.5,9.5719,0.6003,0.6
680,9.5829,0.6002,0.6
682.5,9.5905,0.60008,0.6
685,9.5948,0.59997,0.6
687.5,9.5962,0.59986,0.6
690,9.5951,0.59976,0.6
692.5,9.5921,0.59967,0.6
695,9.5875,0.5996,0.6
697.5,9.5818,0.59954,0.6
700,9.5756,0.5995,0.6
702.5,9.5692,0.59947,0.6
705,9.5629,0.59946,0.6
707.5,9.5571,0.59946,0.6
710,9.552,0.59946,0.6
712.5,9.5476,0.59948,0.6
715,9.5441,0.59951,0.6
717.5,9.5415,0.59953,0.6
720,9.5398,0.59956,0.6
722.5,9.5389,0.59959,0.6
725,9.5387,0.59962,0.6
727.5,9.5391,0.59964,0.6
730,9.54,0.59966,0.6
732.5,9.5412,0.59968,0.6
735,9.5427,0.5997,0.6
737.5,9.5443,0.59971,0.6
740,9.5459,0.59971,0.6
742.5,9.5475,0.59971,0.6
745,9.5489,0.59971,0.6
747.5,9.5502,0.59971,0.6
750,9.5513,0.59971,0.6
752.5,38.723,0.5997,1.2
755,59.573,0.59969,1.2
757.5,60,0.59969,1.2
760,60,0.59968,1.2
762.5,60,0.59967,1.2
765,60,0.58752,1.2
767.5,60,0.57414,1.2
770,60,0.57196,1.2
772.5,60,0.57903,1.2
775,60,0.59339,1.2
777.5,57.786,0.61337,1.2
780,59.793,0.63756,1.2
782.5,57.022,0.66477,1.2
785,54.369,0.69401,1.2
787.5,53.312,0.72447,1.2
790,50.584,0.7566,1.2
792.5,49.649,0.78725,1.2
795,48.31,0.81906,1.2
797.5,47.015,0.85115,1.2
800,45.826,0.88198,1.2
802.5,44.547,0.91238,1.2
805,43.266,0.94082,1.2
