t,u1,y,ysp
2.5,23.368,1.12,0.8
5,7.356,1.1197,0.8
7.5,0,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1273,0.8
17.5,0,1.1456,0.8
20,0,1.164,0.8
22.5,0,1.1758,0.8
25,0.72811,1.1818,0.8
27.5,2.0905,1.1828,0.8
30,3.6813,1.1795,0.8
32.5,5.1647,1.1725,0.8
35,6.4187,1.1622,0.8
37.5,7.2538,1.1485,0.8
40,7.915,1.1316,0.8
42.5,7.845,1.112,0.8
45,8.3717,1.0905,0.8
47.5,8.8006,1.0678,0.8
50,9.5463,1.0448,0.8
52.5,11.114,1.0219,0.8
55,13.866,0.99987,0.8
57.5,18.705,0.9782,0.8
60,20.284,0.95714,0.8
62.5,22.942,0.93658,0.8
65,23.296,0.91616,0.8
67.5,22.399,0.89551,0.8
70,21.14,0.87399,0.8
72.5,19.348,0.85475,0.8
75,18.121,0.83723,0.8
77.5,16.808,0.82311,0.8
80,16.724,0.81274,0.8
82.5,15.269,0.80565,0.8
85,15.458,0.80148,0.8
87.5,15.43,0.7992,0.8
90,15.406,0.79841,0.8
92.5,15.391,0.79798,0.8
95,15.382,0.79862,0.8
97.5,15.383,0.79903,0.8
100,15.389,0.7994,0.8
102.5,15.4,0.79971,0.8
105,15.414,0.79996,0.8
107.5,15.43,0.80016,0.8
110,15.446,0.80031,0.8
112.5,15.462,0.80041,0.8
115,15.478,0.80046,0.8
117.5,15.491,0.80048,0.8
120,15.503,0.80046,0.8
122.5,15.514,0.80042,0.8
125,15.522,0.80035,0.8
127.5,15.528,0.80028,0.8
130,15.533,0.8002,0.8
132.5,15.536,0.80012,0.8
135,15.538,0.80004,0.8
137.5,15.538,0.79996,0.8
140,15.538,0.79989,0.8
142.5,15.537,0.79983,0.8
145,15.535,0.79978,0.8
147.5,15.533,0.79974,0.8
150,15.531,0.7997,0.8
152.5,15.529,0.79967,0.8
155,15.527,0.79965,0.8
157.5,15.525,0.79964,0.8
160,15.523,0.79964,0.8
162.5,15.521,0.79963,0.8
165,15.52,0.79964,0.8
167.5,15.519,0.79964,0.8
170,15.518,0.79965,0.8
172.5,15.518,0.79965,0.8
175,15.517,0.79966,0.8
177.5,15.517,0.79967,0.8
180,15.517,0.79968,0.8
182.5,15.517,0.79969,0.8
185,15.517,0.79969,0.8
187.5,15.517,0.7997,0.8
190,15.517,0.7997,0.8
192.5,15.518,0.79971,0.8
195,15.518,0.79971,0.8
197.5,15.518,0.79971,0.8
200,15.519,0.79971,0.8
202.5,15.519,0.79971,0.8
205,15.519,0.79971,0.8
207.5,15.519,0.79971,0.8
210,15.519,0.79971,0.8
212.5,15.519,0.79971,0.8
215,15.519,0.79971,0.8
217.5,15.519,0.79971,0.8
220,15.519,0.79971,0.8
222.5,15.519,0.79971,0.8
225,15.519,0.79971,0.8
227.5,15.519,0.79971,0.8
230,15.519,0.7997,0.8
232.5,15.519,0.7997,0.8
235,15.519,0.7997,0.8
237.5,15.519,0.7997,0.8
240,15.519,0.7997,0.8
242.5,15.519,0.7997,0.8
245,15.519,0.7997,0.8
247.5,15.519,0.7997,0.8
250,15.519,0.7997,0.8
252.5,0,0.7997,0.2
255,0,0.7997,0.2
257.5,0,0.7997,0.2
260,0,0.7997,0.2
262.5,0,0.7997,0.2
265,0,0.80832,0.2
267.5,0,0.81329,0.2
270,0,0.81505,0.2
272.5,0,0.81398,0.2
275,0,0.81044,0.2
277.5,0,0.80475,0.2
280,0,0.79718,0.2
282.5,0,0.788,0.2
285,0,0.77742,0.2
287.5,0,0.76566,0.2
290,0,0.75289,0.2
292.5,0,0.73927,0.2
295,0,0.72496,0.2
297.5,0,0.71009,0.2
300,0,0.69476,0.2
302.5,0,0.67909,0.2
305,0,0.66316,0.2
307.5,0,0.64706,0.2
310,0,0.63086,0.2
312.5,0,0.61462,0.2
315,0,0.5984,0.2
317.5,0,0.58224,0.2
320,0,0.5662,0.2
322.5,0,0.55031,0.2
325,0,0.53459,0.2
327.5,0,0.51909,0.2
330,0,0.50381,0.2
332.5,0,0.48879,0.2
335,0,0.47404,0.2
337.5,0,0.45958,0.2
340,0,0.44541,0.2
342.5,0,0.43154,0.2
345,0,0.41799,0.2
347.5,0.51697,0.40475,0.2
350,0,0.39184,0.2
352.5,3.3695,0.37925,0.2
355,0,0.36698,0.2
357.5,0,0.35504,0.2
360,3.8306,0.34329,0.2
362.5,0.45324,0.33212,0.2
365,0,0.32047,0.2
367.5,0,0.31074,0.2
370,3.8242,0.30122,0.2
372.5,2.0333,0.29112,0.2
375,1.2892,0.28288,0.2
377.5,0.97162,0.27497,0.2
380,3.5823,0.26717,0.2
382.5,2.7891,0.25879,0.2
385,2.5607,0.25182,0.2
387.5,2.463,0.24553,0.2
390,2.4588,0.23962,0.2
392.5,2.5405,0.23349,0.2
395,3.6362,0.22836,0.2
397.5,3.3091,0.22386,0.2
400,3.1988,0.21985,0.2
402.5,3.0983,0.21626,0.2
405,3.0036,0.21304,0.2
407.5,2.9146,0.21002,0.2
410,2.8225,0.20765,0.2
412.5,2.7323,0.20577,0.2
415,2.6484,0.20429,0.2
417.5,2.5714,0.20316,0.2
420,2.5027,0.20231,0.2
422.5,2.4431,0.2017,0.2
425,2.393,0.20128,0.2
427.5,2.3522,0.201,0.2
430,2.3205,0.20085,0.2
432.5,2.2972,0.20077,0.2
435,2.2813,0.20076,0.2
437.5,2.2719,0.20078,0.2
440,2.2678,0.20082,0.2
442.5,2.2679,0.20087,0.2
445,2.2713,0.20092,0.2
447.5,2.2769,0.20096,0.2
450,2.2839,0.20099,0.2
452.5,2.2915,0.201,0.2
455,2.2991,0.201,0.2
457.5,2.3063,0.20099,0.2
460,2.3127,0.20096,0.2
462.5,2.3181,0.20093,0.2
465,2.3225,0.20089,0.2
467.5,2.3257,0.20085,0.2
470,2.3278,0.20081,0.2
472.5,2.329,0.20077,0.2
475,2.3293,0.20073,0.2
477.5,2.3289,0.2007,0.2
480,2.328,0.20067,0.2
482.5,2.3266,0.20064,0.2
485,2.3251,0.20062,0.2
487.5,2.3234,0.20061,0.2
490,2.3217,0.2006,0.2
492.5,2.3201,0.20059,0.2
495,2.3186,0.20059,0.2
497.5,2.3173,0.20059,0.2
500,2.3163,0.20059,0.2
502.5,21.48,0.2006,0.6
505,35.364,0.2006,0.6
507.5,43.757,0.20061,0.6
510,47.116,0.20061,0.6
512.5,46.938,0.20062,0.6
515,44.198,0.19795,0.6
517.5,39.699,0.19804,0.6
520,34.057,0.20431,0.6
522.5,27.958,0.21819,0.6
525,20.791,0.23946,0.6
527.5,15.782,0.26703,0.6
530,8.5039,0.29942,0.6
532.5,0.64006,0.3351,0.6
535,0,0.37258,0.6
537.5,0,0.41078,0.6
540,0,0.44783,0.6
542.5,0,0.48379,0.6
545,0.048897,0.51793,0.6
547.5,1.4082,0.54676,0.6
550,3.9075,0.57049,0.6
552.5,6.3114,0.58967,0.6
555,5.1265,0.60479,0.6
557.5,9.2697,0.61626,0.6
560,7.9494,0.62393,0.6
562.5,8.0686,0.62798,0.6
565,8.3415,0.62931,0.6
567.5,8.7323,0.63026,0.6
570,9.1507,0.62832,0.6
572.5,9.4065,0.62704,0.6
575,9.5848,0.62545,0.6
577.5,9.765,0.62357,0.6
580,9.9358,0.62142,0.6
582.5,10.087,0.61913,0.6
585,9.7372,0.61687,0.6
587.5,9.4643,0.61472,0.6
590,5.6474,0.61271,0.6
592.5,7.8612,0.61088,0.6
595,9.1472,0.60924,0.6
597.5,9.6264,0.60802,0.6
600,9.8143,0.60708,0.6
602.5,9.9669,0.60781,0.6
605,10.122,0.60676,0.6
607.5,10.252,0.60496,0.6
610,10.358,0.6031,0.6
612.5,10.425,0.6014,0.6
615,10.444,0.5999,0.6
617.5,10.417,0.59861,0.6
620,10.358,0.59754,0.6
622.5,10.262,0.59671,0.6
625,10.155,0.59612,0.6
627.5,10.04,0.59579,0.6
630,9.9101,0.59569,0.6
632.5,9.7509,0.5958,0.6
635,9.6051,0.59611,0.6
637.5,9.4728,0.59657,0.6
640,9.358,0.59714,0.6
642.5,9.2637,0.59779,0.6
645,9.1937,0.5985,0.6
647.5,9.1477,0.59921,0.6
650,9.1144,0.5999,0.6
652.5,9.0947,0.60054,0.6
