t,u1,u2,u3,y,ysp
10,11.161,0.55,16.6,7,5
20,8.8607,0.55,16.6,7.0015,5
30,7.1546,0.55,16.6,6.7883,5
40,6.8024,0.55,16.6,6.5537,5
50,6.8875,0.55,16.6,6.3164,5
60,7.2891,0.55,16.6,6.0934,5
70,8.051,0.55,16.6,5.8704,5
80,9.041,0.55,16.6,5.6349,5
90,9.9808,0.55,16.6,5.3889,5
100,10.656,0.55,16.6,5.1656,5
110,11.015,0.55,16.6,5.0199,5
120,11.142,0.55,16.6,4.9638,5
130,11.15,0.55,16.6,4.9606,5
140,11.12,0.55,16.6,4.975,5
150,11.09,0.55,16.6,4.9888,5
160,11.071,0.55,16.6,4.9972,5
170,11.063,0.55,16.6,5.0008,5
180,11.061,0.55,16.6,5.0016,5
190,11.062,0.55,16.6,5.0012,5
200,11.063,0.55,16.6,5.0006,5
210,11.064,0.55,16.6,5.0002,5
220,11.065,0.55,16.6,5,5
230,11.065,0.55,16.6,4.9999,5
240,11.065,0.55,16.6,4.9999,5
250,11.065,0.55,16.6,5,5
260,11.065,0.55,16.6,5,5
270,11.065,0.55,16.6,5,5
280,11.065,0.55,16.6,5,5
290,11.065,0.55,16.6,5,5
300,11.065,0.55,16.6,5,5
310,18.864,0.55,16.6,5,8
320,20.717,0.55,16.6,5,8
330,23.57,0.55,16.6,5.6584,8
340,22.659,0.55,16.6,6.041,8
350,21.982,0.55,16.6,6.4067,8
360,20.937,0.55,16.6,6.7207,8
370,18.525,0.55,16.6,7.0728,8
380,16.634,0.55,16.6,7.5761,8
390,16.274,0.55,16.6,8.0947,8
400,16.414,0.55,16.6,8.1218,8
410,16.513,0.55,16.6,8.0292,8
420,16.53,0.55,16.6,7.9943,8
430,16.523,0.55,16.6,7.9936,8
440,16.517,0.55,16.6,7.9984,8
450,16.516,0.55,16.6,8.0003,8
460,16.517,0.55,16.6,8.0004,8
470,16.517,0.55,16.6,8.0001,8
480,16.517,0.55,16.6,8,8
490,16.517,0.55,16.6,8,8
500,16.517,0.55,16.6,8,8
510,16.517,0.55,16.6,8,8
520,16.517,0.55,16.6,8,8
530,16.517,0.55,16.6,8,8
540,16.517,0.55,16.6,8,8
550,16.517,0.55,16.6,8,8
560,16.517,0.55,16.6,8,8
570,16.517,0.55,16.6,8,8
580,16.517,0.55,16.6,8,8
590,16.517,0.55,16.6,8,8
600,16.517,0.55,16.6,8,8
610,16.517,0.55,16.6,8,8
620,16.517,0.55,16.6,8,8
630,16.517,0.55,16.6,8,8
640,16.517,0.55,16.6,8,8
650,16.517,0.55,16.6,8,8
660,16.517,0.55,16.6,8,8
670,16.517,0.55,16.6,8,8
680,16.517,0.55,16.6,8,8
690,16.517,0.55,16.6,8,8
700,16.517,0.55,16.6,8,8
710,8.8134,0.55,16.6,8,4.5
720,6.8338,0.55,16.6,8,4.5
730,5.0038,0.55,16.6,7.0501,4.5
740,4.4118,0.55,16.6,6.649,4.5
750,4.4816,0.55,16.6,6.3254,4.5
760,5.3777,0.55,16.6,6.0203,4.5
770,7.1962,0.55,16.6,5.6758,4.5
780,9.0893,0.55,16.6,5.2127,4.5
790,10.231,0.55,16.6,4.6905,4.5
800,10.734,0.55,16.6,4.47,4.5
810,10.881,0.55,16.6,4.4219,4.5
820,10.87,0.55,16.6,4.4319,4.5
830,10.813,0.55,16.6,4.4568,4.5
840,10.76,0.55,16.6,4.4789,4.5
850,10.726,0.55,16.6,4.4929,4.5
860,10.709,0.55,16.6,4.4996,4.5
870,10.703,0.55,16.6,4.5018,4.5
880,10.703,0.55,16.6,4.5019,4.5
890,10.704,0.55,16.6,4.5013,4.5
900,10.705,0.55,16.6,4.5006,4.5
910,10.706,0.55,16.6,4.5002,4.5
920,10.707,0.55,16.6,4.5,4.5
930,10.707,0.55,16.6,4.5,4.5
940,10.707,0.55,16.6,4.5,4.5
950,10.707,0.55,16.6,4.5,4.5
960,10.707,0.55,16.6,4.5,4.5
970,10.707,0.55,16.6,4.5,4.5
980,10.707,0.55,16.6,4.5,4.5
990,10.707,0.55,16.6,4.5,4.5
1000,15.55,0.55,16.6,4.5,4.5
